ITEM,INSTALL,DISCIPLINE,SUBCONTRACTOR,TAG,SYSTEM,DESCRIPTION,LEVEL,PQT DW,PQT BW,GQE,OBS
108,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT52,-,Temperature Transmitter (PT100),2,,,,
109,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT53,-,Temperature Transmitter (PT100),2,,,,
110,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT54,-,Temperature Transmitter (PT100),2,,,,
111,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT55,-,Temperature Transmitter (PT100),2,,,,
112,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT56,-,Temperature Transmitter (PT100),2,,,,
113,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH11,JTUBE TT,HVAC J-Tubes - Temperature Transmitter (PT100) Junction Box,1,28,,,
114,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH12,JTUBE TT,HVAC J-Tubes - Temperature Transmitter (PT100) Junction Box,1,28,,,
115,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH13,JTUBE TT,HVAC J-Tubes - Temperature Transmitter (PT100) Junction Box,1,28,,,
116,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH14,JTUBE TT,HVAC J-Tubes - Temperature Transmitter (PT100) Junction Box,1,28,,,
117,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH15,JTUBE TT,HVAC J-Tubes - Temperature Transmitter (PT100) Junction Box,1,28,,,
118,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH16,JTUBE TT,HVAC J-Tubes - Temperature Transmitter (PT100) Junction Box,1,28,,,
119,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH18,HVAC CABLE JB TT,HVAC Cable joints - Temperature Transmitter (PT100) Junction Box,3,28,,,
120,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH19,HVAC CABLE JB TT,HVAC Cable joints - Temperature Transmitter (PT100) Junction Box,3,,,,
121,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH20,HVAC CABLE JB TT,HVAC Cable joints - Temperature Transmitter (PT100) Junction Box,3,30,,,
122,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH21,HVAC CABLE JB TT,HVAC Cable joints - Temperature Transmitter (PT100) Junction Box,3,30,,,
123,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH22,HVAC CABLE JB TT,HVAC Cable joints - Temperature Transmitter (PT100) Junction Box,3,30,,,
124,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH23,HVAC CABLE JB TT,HVAC Cable joints - Temperature Transmitter (PT100) Junction Box,3,30,,,
125,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH24,HVAC CABLE JB TT,HVAC Cable joints - Temperature Transmitter (PT100) Junction Box,3,30,,,
